"","cap.shape","cap.surface","cap.color","bruises.","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.","stalk.surface.below.","stalk.color.above.ri","stalk.color.below.ri","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat","classe","echantillon"
"1642","x","s","b","t","f","f","c","b","w","t","b","s","f","w","w","p","w","o","p","h","s","g","p","base"
"1643","f","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","d","e","base"
"1645","f","y","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"1646","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","p","e","base"
"1648","f","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g","e","base"
"1649","f","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","d","e","base"
"1650","f","y","e","f","f","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","l","p","base"
"1651","f","s","g","t","f","f","c","b","p","t","b","f","f","w","w","p","w","o","p","h","v","g","p","base"
"1652","x","y","n","f","s","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","d","p","base"
"1653","x","y","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","y","d","e","base"
"1654","f","s","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g","e","base"
"1656","f","y","g","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","d","e","base"
"1657","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","p","e","base"
"1658","x","y","n","f","f","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","d","p","base"
"1659","x","f","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"1660","x","y","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","d","e","base"
"1661","x","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g","e","base"
"1662","x","s","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","g","e","base"
"1663","k","s","e","f","f","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p","p","base"
"1664","f","y","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","p","p","base"
"1665","b","s","b","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","r","v","m","p","base"
"1667","f","y","e","f","m","a","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d","p","base"
"1669","x","y","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","y","d","e","base"
"1671","k","s","n","f","f","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p","p","base"
"1672","f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","g","e","base"
"1673","b","s","w","f","n","f","w","b","w","e","?","s","k","w","w","p","w","t","p","w","s","g","e","base"
"1674","f","f","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","d","p","base"
"1675","x","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","g","e","base"
"1676","x","y","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","y","d","e","base"
"1677","f","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","y","d","e","base"
"1678","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","p","p","base"
"1679","x","f","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d","e","base"
"1680","x","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g","e","base"
"1681","b","s","w","f","n","f","w","b","w","e","?","k","k","w","w","p","w","t","p","w","s","g","e","base"
"1683","f","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","d","e","base"
"1684","x","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","d","p","base"
"1685","f","f","n","f","n","f","c","n","w","e","?","k","y","w","n","p","w","o","e","w","v","d","p","base"
"1686","x","y","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","g","p","base"
"1687","f","y","e","f","f","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","l","p","base"
"1689","x","y","y","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p","p","base"
"1691","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m","e","base"
"1696","x","f","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","y","d","e","base"
"1697","f","y","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","d","e","base"
"1699","k","y","n","f","y","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","l","p","base"
"1701","k","y","e","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","l","p","base"
"1702","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g","e","base"
"1703","f","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g","e","base"
"1705","x","y","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p","p","base"
"1706","f","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g","e","base"
"1707","f","s","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","g","e","base"
"1708","f","s","b","t","f","f","c","b","w","t","b","s","f","w","w","p","w","o","p","h","v","g","p","base"
"1709","x","s","n","f","y","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","l","p","base"
"1710","x","y","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","g","p","base"
"1711","f","f","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","p","p","base"
"1712","x","y","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","d","e","base"
"1713","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g","p","base"
"1715","k","s","e","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","l","p","base"
"1717","x","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","d","e","base"
"1718","f","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"1719","x","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d","e","base"
"1722","x","y","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","v","d","e","base"
"1723","x","f","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","g","e","base"
"1724","k","y","b","t","n","f","c","b","e","e","?","s","s","e","e","p","w","t","e","w","c","w","e","base"
"1725","f","f","y","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","p","p","base"
"1726","x","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g","e","base"
"1727","f","y","u","f","n","f","c","n","h","e","?","s","f","w","w","p","w","o","f","h","v","d","e","base"
"1728","k","y","n","f","f","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p","p","base"
"1731","f","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p","p","base"
"1732","f","f","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","y","d","e","base"
"1733","f","s","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","g","e","base"
"1734","k","y","n","f","f","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p","p","base"
"1735","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m","e","base"
"1737","f","y","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","v","d","e","base"
"1738","f","y","n","f","y","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p","p","base"
"1739","f","s","e","f","f","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","d","p","base"
"1740","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m","e","base"
"1741","x","y","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d","e","base"
"1742","f","y","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","d","e","base"
"1744","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m","e","base"
"1745","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m","e","base"
"1746","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g","e","base"
"1747","x","f","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","y","d","e","base"
"1748","f","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g","e","base"
"1749","x","y","e","f","f","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","d","p","base"
"1750","f","s","b","t","f","f","c","b","h","t","b","s","f","w","w","p","w","o","p","h","v","g","p","base"
"1751","x","f","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","v","d","e","base"
"1752","x","y","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","v","d","e","base"
"1753","f","y","b","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","r","v","g","p","base"
"1755","f","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","d","e","base"
"1756","f","y","e","f","y","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","l","p","base"
"1757","f","f","y","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","y","p","p","base"
"1758","x","f","e","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d","e","base"
"1759","x","y","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d","e","base"
"1760","f","f","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","d","e","base"
"1761","f","s","n","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","l","p","base"
"1762","f","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","g","e","base"
"1763","x","y","y","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","d","p","base"
"1764","x","s","p","t","n","f","c","b","e","e","?","s","s","e","w","p","w","t","e","w","c","w","e","base"
"1766","x","y","y","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","p","p","base"
"1767","k","s","e","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p","p","base"
"1769","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m","e","base"
"1771","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g","e","base"
"1772","x","s","b","t","n","f","c","b","w","e","?","s","s","e","w","p","w","t","e","w","c","w","e","base"
"1773","f","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p","p","base"
"1774","f","y","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d","e","base"
"1775","x","y","e","f","s","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","d","p","base"
"1777","f","f","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g","e","base"
"1779","f","y","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","d","e","base"
"1780","f","f","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","y","d","e","base"
"1785","b","s","w","f","n","f","w","b","p","e","?","k","s","w","w","p","w","t","p","w","s","g","e","base"
"1788","k","s","n","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","l","p","base"
"1790","x","s","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d","p","base"
"1795","f","y","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d","e","base"
"1798","x","s","w","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","n","s","d","p","base"
"1801","x","f","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","v","d","p","base"
"1803","f","y","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"1804","f","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","g","e","base"
"1806","k","y","e","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p","p","base"
"1807","f","f","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d","e","base"
"1808","x","f","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","d","e","base"
"1809","x","f","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","d","e","base"
"1810","k","s","n","f","f","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","d","p","base"
"1811","k","s","n","f","n","a","c","b","o","e","?","s","s","o","o","p","o","o","p","o","c","l","e","base"
"1812","f","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"1813","x","f","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","v","d","p","base"
"1815","f","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","y","u","e","base"
"1816","f","s","p","t","n","f","c","b","e","e","?","s","s","w","e","p","w","t","e","w","c","w","e","base"
"1817","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","u","p","base"
"1819","f","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g","e","base"
"1821","x","y","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d","e","base"
"1822","f","y","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p","p","base"
"1823","f","f","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","v","d","e","base"
"1825","f","f","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","d","e","base"
"1826","f","y","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","p","p","base"
"1828","k","y","b","t","n","f","c","b","w","e","?","s","s","w","w","p","w","t","e","w","c","w","e","base"
"1829","f","y","e","f","f","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","l","p","base"
"1830","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","d","p","base"
"1831","f","f","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","p","p","base"
"1832","x","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g","e","base"
"1836","f","y","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p","p","base"
"1837","x","y","n","f","y","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p","p","base"
"1838","x","f","y","f","f","f","c","b","g","e","b","k","k","b","n","p","w","o","l","h","y","d","p","base"
"1839","x","y","n","f","s","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","d","p","base"
"1842","x","f","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","g","p","base"
"1843","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","u","e","base"
"1844","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g","e","base"
"1845","f","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","g","p","base"
"1846","x","s","b","t","f","f","c","b","w","t","b","f","s","w","w","p","w","o","p","h","v","u","p","base"
"1847","x","s","e","f","s","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","d","p","base"
"1848","x","f","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","d","e","base"
"1849","k","s","e","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","d","p","base"
"1850","x","f","e","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","y","d","e","base"
"1851","b","s","n","f","n","a","c","b","o","e","?","s","s","o","o","p","n","o","p","n","c","l","e","base"
"1854","f","f","y","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","d","p","base"
"1855","f","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","u","e","base"
"1858","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","u","p","base"
"1859","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","p","e","base"
"1863","x","s","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g","e","base"
"1865","x","y","g","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","y","d","e","base"
"1866","f","y","n","f","y","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","l","p","base"
"1867","x","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g","e","base"
"1868","k","y","c","f","n","f","w","n","w","e","b","f","f","w","n","p","w","o","e","w","v","l","e","base"
"1869","k","s","n","f","y","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","d","p","base"
"1870","x","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u","e","base"
"1871","f","f","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","d","p","base"
"1872","f","s","e","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","l","p","base"
"1874","f","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","y","d","e","base"
"1876","f","s","b","t","f","f","c","b","w","t","b","s","s","w","w","p","w","o","p","h","s","u","p","base"
"1877","k","s","n","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p","p","base"
"1878","x","f","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","v","d","e","base"
"1879","f","y","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","d","p","base"
"1880","f","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","g","e","base"
"1882","x","f","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d","e","base"
"1883","f","f","w","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d","e","base"
"1884","x","y","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p","p","base"
"1886","x","y","n","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p","p","base"
"1887","x","y","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","g","p","base"
"1888","f","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","g","p","base"
"1889","k","s","e","f","s","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p","p","base"
"1890","x","y","w","f","n","f","c","n","w","e","?","s","f","w","w","p","w","o","f","h","v","d","e","base"
"1891","x","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"1892","x","f","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","p","p","base"
"1894","f","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g","e","base"
"1897","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g","e","base"
"1900","f","s","g","t","f","f","c","b","h","t","b","f","s","w","w","p","w","o","p","h","s","g","p","base"
"1901","x","s","g","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","s","d","p","base"
"1902","x","f","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","d","p","base"
"1904","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","m","e","base"
"1905","x","s","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","n","s","d","p","base"
"1906","x","y","e","f","f","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p","p","base"
"1907","x","y","p","t","n","f","c","b","e","e","?","s","s","w","w","p","w","t","e","w","c","w","e","base"
"1908","f","s","g","t","f","f","c","b","h","t","b","s","s","w","w","p","w","o","p","h","v","g","p","base"
"1909","f","y","n","f","s","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","d","p","base"
"1910","x","f","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","d","e","base"
"1912","x","s","n","f","y","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","l","p","base"
"1914","k","y","n","t","n","f","c","b","e","e","?","s","s","e","e","p","w","t","e","w","c","w","e","base"
"1915","x","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","y","d","e","base"
"1916","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m","e","base"
"1917","x","y","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","y","d","e","base"
"1918","f","y","g","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","g","p","base"
"1919","x","f","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d","e","base"
"1920","x","f","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","d","e","base"
"1921","x","f","y","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d","e","base"
"1922","f","y","n","f","f","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","d","p","base"
"1924","x","s","w","t","f","f","c","b","h","t","b","s","s","w","w","p","w","o","p","h","s","g","p","base"
"1925","f","s","n","f","n","a","c","b","y","e","?","s","s","o","o","p","o","o","p","b","c","l","e","base"
"1926","x","s","g","t","f","f","c","b","h","t","b","f","f","w","w","p","w","o","p","h","v","u","p","base"
"1927","x","s","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g","e","base"
"1928","f","y","e","f","s","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p","p","base"
"1930","k","y","e","f","f","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p","p","base"
"1932","x","y","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d","e","base"
"1933","x","f","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","v","d","p","base"
"1934","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u","e","base"
"1935","k","s","n","f","f","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","l","p","base"
"1936","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","g","e","base"
"1937","b","y","p","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","r","v","g","p","base"
"1938","x","y","e","f","f","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p","p","base"
"1939","x","y","n","f","y","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","d","p","base"
"1940","f","g","w","t","n","f","w","n","w","e","b","s","s","w","w","p","w","o","p","w","c","l","p","base"
"1942","f","f","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","y","d","e","base"
"1943","k","y","n","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","d","p","base"
"1945","k","y","e","f","s","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","l","p","base"
"1946","f","y","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","y","d","e","base"
"1947","x","f","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","d","e","base"
"1948","k","y","n","f","s","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","l","p","base"
"1949","f","s","e","f","y","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","l","p","base"
"1950","k","s","e","f","s","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p","p","base"
"1953","f","s","e","f","f","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","d","p","base"
"1954","x","f","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","v","d","e","base"
"1955","k","f","g","f","n","f","w","b","g","e","?","s","s","w","w","p","w","t","p","w","n","g","e","base"
"1956","x","y","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","y","d","e","base"
"1958","x","s","b","t","f","f","c","b","p","t","b","s","s","w","w","p","w","o","p","h","v","g","p","base"
"1959","k","s","e","f","y","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","d","p","base"
"1960","x","f","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","p","p","base"
"1961","f","y","e","f","y","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","d","p","base"
"1963","f","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","y","d","e","base"
"1964","x","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"1965","k","f","g","f","n","f","w","b","g","e","?","s","k","w","w","p","w","t","p","w","n","g","e","base"
"1966","x","f","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","p","p","base"
"1967","x","s","b","t","f","f","c","b","w","t","b","s","f","w","w","p","w","o","p","h","v","g","p","base"
"1968","f","f","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","d","p","base"
"1969","x","f","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","d","p","base"
"1972","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g","e","base"
"1973","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g","e","base"
"1974","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p","e","base"
"1976","f","f","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","g","e","base"
"1977","x","f","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d","p","base"
"1978","f","y","e","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","v","d","e","base"
"1980","x","y","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","g","p","base"
"1981","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g","e","base"
"1982","x","f","w","f","n","f","w","b","p","e","?","s","s","w","w","p","w","t","p","w","s","g","e","base"
"1983","x","y","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","y","d","e","base"
"1984","f","s","e","f","y","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","d","p","base"
"1985","x","y","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","d","p","base"
"1986","f","y","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","d","p","base"
"1987","x","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g","e","base"
"1988","f","s","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"1989","x","s","g","f","n","f","w","b","g","e","?","s","s","w","w","p","w","t","p","w","s","g","e","base"
"1993","x","s","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","g","e","base"
"1995","f","s","n","f","s","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","l","p","base"
"1996","f","y","p","t","n","f","c","b","w","e","?","s","s","e","e","p","w","t","e","w","c","w","e","base"
